arm,n,repro_mean,repro_sd,beta_mean,beta_sd,repro_per_seed,beta_per_seed
wf6,4,0.1763,0.0512,0.0161,0.0047,0.175;0.250;0.105;0.175,0.0193;0.0210;0.0089;0.0152
wf24,4,0.9155,0.2095,0.0688,0.0092,0.675;0.950;1.237;0.800,0.0557;0.0716;0.0812;0.0667
rd3,4,0.2773,0.0698,0.0252,0.0041,0.250;0.300;0.184;0.375,0.0259;0.0269;0.0186;0.0295
rd10,4,0.7434,0.1391,0.0589,0.011,0.700;0.700;0.974;0.600,0.0626;0.0600;0.0716;0.0413
density_0.5,4,0.5169,0.2117,0.045,0.0168,0.842;0.568;0.316;0.342,0.0702;0.0502;0.0313;0.0282
density_2.0,4,0.3748,0.1528,0.0325,0.0125,0.135;0.526;0.351;0.486,0.0130;0.0407;0.0306;0.0457
khop1,4,0.0,0.0,0.0,0.0,0.000;0.000;0.000;0.000,0.0000;0.0000;0.0000;0.0000
khop2,4,0.0,0.0,0.0,0.0,0.000;0.000;0.000;0.000,0.0000;0.0000;0.0000;0.0000
khop3,4,0.0,0.0,0.0,0.0,0.000;0.000;0.000;0.000,0.0000;0.0000;0.0000;0.0000
