run_tag,seed,arm,N,I0,steps,beta,gamma,r0,effective_reproduction,empirical_reproduction_per_seed,fit_rmse_I,fit_rmse_R,fit_rmse_total
khop1,42,unknown,50818.0,31.0,10,1.3572541803679923e-07,0.0,NA,1.3564262275141383e-07,0.0,2.4876661495818734e-05,,2.4876661495818734e-05
khop2,42,unknown,50818.0,35.0,10,1.3571405137015509e-07,0.0,NA,1.356205806507458e-07,0.0,2.8081989200645174e-05,,2.8081989200645174e-05
khop3,42,unknown,50818.0,32.0,10,1.357225769068842e-07,0.0,NA,1.3563711259489897e-07,0.0,2.5678091294770846e-05,,2.5678091294770846e-05
wf6,42,unknown,50818.0,40.0,10,0.01933212605927594,0.0,NA,0.019315351129451496,0.175,1.028586972615802,,1.028586972615802
wf24,42,unknown,50818.0,40.0,10,0.05574050265939051,0.0,NA,0.05568212462389933,0.675,1.8018082042946673,,1.8018082042946673
rd3,42,unknown,50818.0,40.0,10,0.025903548749502618,0.0,NA,0.02588030509479563,0.25,0.9850090849550122,,0.9850090849550122
rd10,42,unknown,50818.0,40.0,10,0.06261337657966208,0.0,NA,0.06254538944948344,0.7,2.946411816103137,,2.946411816103137
