run_tag,seed,arm,N,I0,steps,beta,gamma,r0,effective_reproduction,empirical_reproduction_per_seed,fit_rmse_I,fit_rmse_R,fit_rmse_total
mitigated_haiku_s42,42,mitigated,50818.0,40.0,10,0.03216940003877331,0.0,NA,0.03213959069690771,0.325,1.2553970764289963,,1.2553970764289963
mitigated_haiku_s43,43,mitigated,50818.0,40.0,10,0.03984841940321416,0.010891778523785341,3.6585778269539393,0.03981023563941044,0.45,1.042825590830014,0.713533356469533,0.8934805716087633
mitigated_haiku_s44,44,mitigated,50818.0,38.0,10,0.04096418032750536,0.003186019101773101,12.857481081864119,0.040926513695852006,0.4473684210526316,2.590889425012608,0.38703782902619727,1.8523642047042848
mitigated_haiku_s45,45,mitigated,50818.0,40.0,10,0.030431254941040646,0.005991358002392377,5.079191550377946,0.03040338015709151,0.375,0.9512742032673719,0.5041199154718349,0.7612685133963256
